time_s,policy,empty_polls,full_polls,packets,sleeps,skip_fraction,nanoseconds_per_inference,packets_missed
14.7,baseline,997,0,0,997,1.0000,12.20,0
14.8,baseline,999,0,0,999,1.0000,11.50,0
14.9,baseline,998,0,0,998,1.0000,11.63,0
15.0,baseline,999,0,0,999,1.0000,11.26,0
15.1,baseline,999,0,0,999,1.0000,11.41,0
15.2,baseline,997,0,0,997,1.0000,11.76,0
15.3,baseline,996,0,0,996,1.0000,11.94,0
15.4,baseline,997,0,0,997,1.0000,11.57,0
15.5,baseline,997,0,0,997,1.0000,11.77,0
15.6,baseline,998,0,0,998,1.0000,11.51,0
15.7,baseline,996,0,0,996,1.0000,11.79,0
15.8,baseline,997,0,0,997,1.0000,11.36,0
15.9,baseline,998,0,0,998,1.0000,11.72,0
16.0,baseline,998,0,0,998,1.0000,11.46,0
16.1,baseline,998,0,0,998,1.0000,11.69,0
16.2,baseline,997,0,0,997,1.0000,11.74,0
16.3,baseline,999,0,0,999,1.0000,11.48,0
16.4,baseline,999,0,0,999,1.0000,11.58,0
16.5,baseline,998,0,0,998,1.0000,11.99,0
16.6,baseline,997,0,0,997,1.0000,11.92,0
16.7,baseline,998,0,0,998,1.0000,11.75,0
16.8,baseline,998,0,0,998,1.0000,11.43,0
16.9,baseline,998,0,0,998,1.0000,11.85,0
17.0,baseline,999,0,0,999,1.0000,11.77,0
17.1,baseline,998,0,0,998,1.0000,11.57,0
17.2,baseline,998,0,0,998,1.0000,11.48,0
17.3,baseline,997,0,0,997,1.0000,11.90,0
17.4,baseline,998,0,0,998,1.0000,11.57,0
17.5,baseline,994,0,0,994,1.0000,15.91,0
17.6,baseline,996,0,0,996,1.0000,12.05,0
17.7,baseline,995,0,0,995,1.0000,12.07,0
17.8,baseline,998,0,0,998,1.0000,11.75,0
17.9,baseline,998,0,0,998,1.0000,11.49,0
18.0,baseline,999,0,0,999,1.0000,11.90,0
18.1,baseline,998,0,0,998,1.0000,11.72,0
18.2,baseline,998,0,0,998,1.0000,11.72,0
18.3,baseline,998,0,0,998,1.0000,11.68,0
18.4,baseline,998,0,0,998,1.0000,11.72,0
18.5,baseline,998,0,0,998,1.0000,11.68,0
18.6,baseline,998,0,0,998,1.0000,11.57,0
18.7,baseline,998,0,0,998,1.0000,11.82,0
18.8,baseline,998,0,0,998,1.0000,11.66,0
18.9,baseline,997,0,0,997,1.0000,11.75,0
19.0,baseline,998,0,0,998,1.0000,11.65,0
19.1,baseline,999,0,0,999,1.0000,11.48,0
19.2,baseline,998,0,0,998,1.0000,11.54,0
19.3,baseline,996,0,0,996,1.0000,11.67,0
19.4,baseline,998,0,0,998,1.0000,11.44,0
19.5,baseline,997,0,0,997,1.0000,11.62,0
19.6,baseline,998,0,0,998,1.0000,11.54,0
19.7,baseline,997,0,0,997,1.0000,11.78,0
19.8,baseline,998,0,0,998,1.0000,12.16,0
19.9,baseline,999,0,0,999,1.0000,11.55,0
20.0,baseline,999,0,0,999,1.0000,11.53,0
20.1,baseline,998,0,0,998,1.0000,11.66,0
20.2,baseline,998,0,0,998,1.0000,11.51,0
20.3,baseline,997,0,0,997,1.0000,11.43,0
20.4,baseline,997,0,0,997,1.0000,11.40,0
20.5,baseline,996,0,0,996,1.0000,11.48,0
20.6,baseline,998,0,0,998,1.0000,11.56,0
20.7,baseline,999,0,0,999,1.0000,11.36,0
20.8,baseline,999,0,0,999,1.0000,11.27,0
20.9,baseline,999,0,0,999,1.0000,11.48,0
21.0,baseline,999,0,0,999,1.0000,11.54,0
21.1,baseline,998,0,0,998,1.0000,11.70,0
21.2,baseline,999,0,0,999,1.0000,11.48,0
21.3,baseline,998,0,0,998,1.0000,11.53,0
21.4,baseline,999,0,0,999,1.0000,11.47,0
21.5,baseline,998,0,0,998,1.0000,11.61,0
21.6,baseline,997,0,0,997,1.0000,11.88,0
21.7,baseline,999,0,0,999,1.0000,11.72,0
21.8,baseline,999,0,0,999,1.0000,11.62,0
21.9,baseline,997,0,0,997,1.0000,11.85,0
22.0,baseline,997,0,0,997,1.0000,11.36,0
22.1,baseline,997,0,0,997,1.0000,11.62,0
22.2,baseline,998,0,0,998,1.0000,11.56,0
22.3,baseline,998,0,0,998,1.0000,11.62,0
22.4,baseline,998,0,0,998,1.0000,11.67,0
22.5,baseline,998,0,0,998,1.0000,11.54,0
22.6,baseline,998,0,0,998,1.0000,11.51,0
22.7,baseline,996,0,0,996,1.0000,11.71,0
22.8,baseline,997,0,0,997,1.0000,11.47,0
22.9,baseline,997,0,0,997,1.0000,11.76,0
23.0,baseline,997,0,0,997,1.0000,11.49,0
23.1,baseline,998,0,0,998,1.0000,11.52,0
23.2,baseline,998,0,0,998,1.0000,11.62,0
23.3,baseline,999,0,0,999,1.0000,11.45,0
23.4,baseline,999,0,0,999,1.0000,11.54,0
23.5,baseline,996,0,0,996,1.0000,11.63,0
23.6,baseline,998,0,0,998,1.0000,11.55,0
23.7,baseline,998,0,0,998,1.0000,11.62,0
23.8,baseline,997,0,0,997,1.0000,11.58,0
23.9,baseline,979,0,0,979,1.0000,11.97,0
24.0,baseline,996,0,0,996,1.0000,11.60,0
24.1,baseline,996,0,0,996,1.0000,11.47,0
24.2,baseline,998,0,0,998,1.0000,11.69,0
24.3,baseline,997,0,0,997,1.0000,11.75,0
24.4,baseline,998,0,0,998,1.0000,11.51,0
24.5,baseline,997,0,0,997,1.0000,11.78,0
24.6,baseline,998,0,0,998,1.0000,11.61,0
24.7,baseline,998,0,0,998,1.0000,11.59,0
24.8,baseline,998,0,0,998,1.0000,11.88,0
24.9,baseline,997,0,0,997,1.0000,11.42,0
25.0,baseline,997,0,0,997,1.0000,11.52,0
25.1,baseline,997,0,0,997,1.0000,11.75,0
25.2,baseline,997,0,0,997,1.0000,11.50,0
25.3,baseline,995,0,0,995,1.0000,11.69,0
25.4,baseline,997,0,0,997,1.0000,11.57,0
25.5,baseline,997,0,0,997,1.0000,12.10,0
25.6,baseline,997,0,0,997,1.0000,11.75,0
25.7,baseline,998,0,0,998,1.0000,11.57,0
25.8,baseline,998,0,0,998,1.0000,11.54,0
25.9,baseline,997,0,0,997,1.0000,11.89,0
26.0,baseline,997,0,0,997,1.0000,11.60,0
26.1,baseline,997,0,0,997,1.0000,11.61,0
26.2,baseline,997,0,0,997,1.0000,11.45,0
26.3,baseline,997,0,0,997,1.0000,11.51,0
26.4,baseline,997,0,0,997,1.0000,11.73,0
26.5,baseline,998,0,0,998,1.0000,11.57,0
26.6,baseline,998,0,0,998,1.0000,11.55,0
26.7,baseline,998,0,0,998,1.0000,11.63,0
26.8,baseline,998,0,0,998,1.0000,11.71,0
26.9,baseline,997,0,0,997,1.0000,14.80,0
27.0,baseline,998,0,0,998,1.0000,11.52,0
27.1,baseline,997,0,0,997,1.0000,11.79,0
27.2,baseline,998,0,0,998,1.0000,11.67,0
27.3,baseline,998,0,0,998,1.0000,11.66,0
27.4,baseline,998,0,0,998,1.0000,11.65,0
27.5,baseline,998,0,0,998,1.0000,11.74,0
27.6,baseline,997,0,0,997,1.0000,11.60,0
27.7,baseline,997,0,0,997,1.0000,11.66,0
27.8,baseline,998,0,0,998,1.0000,11.48,0
27.9,baseline,998,0,0,998,1.0000,11.64,0
28.0,baseline,999,0,0,999,1.0000,11.54,0
28.1,baseline,999,0,0,999,1.0000,12.22,0
28.2,baseline,998,0,0,998,1.0000,11.51,0
28.3,baseline,998,0,0,998,1.0000,11.99,0
28.4,baseline,997,0,0,997,1.0000,11.54,0
28.5,baseline,997,0,0,997,1.0000,11.61,0
28.6,baseline,998,0,0,998,1.0000,11.77,0
28.7,baseline,997,0,0,997,1.0000,11.80,0
28.8,baseline,998,0,0,998,1.0000,11.49,0
28.9,baseline,997,0,0,997,1.0000,11.44,0
